distance,total_force
2545.1,-2.16565
2544.76,-2.16081
2544.42,-2.15598
2544.06,-2.15115
2543.69,-2.14633
2543.31,-2.14151
2542.92,-2.13669
2542.52,-2.13188
2542.11,-2.12707
2541.69,-2.12226
2541.25,-2.11746
2540.81,-2.11266
2540.35,-2.10786
2539.88,-2.10307
2539.41,-2.09827
2538.92,-2.09348
2538.42,-2.08869
2537.91,-2.0839
2537.38,-2.07912
2536.85,-2.07433
2536.31,-2.06955
2535.75,-2.06477
2535.18,-2.05998
2534.61,-2.0552
2534.02,-2.05042
2533.42,-2.04564
2532.81,-2.04086
2532.18,-2.03608
2531.55,-2.03131
2530.91,-2.02653
2530.25,-2.02175
2529.59,-2.01697
2528.91,-2.01218
2528.22,-2.0074
2527.52,-2.00262
2526.81,-1.99783
2526.09,-1.99305
2525.35,-1.98826
2524.61,-1.98347
2523.86,-1.97868
2523.09,-1.97389
2522.31,-1.96909
2521.52,-1.96429
2520.72,-1.95949
2519.91,-1.95469
2519.09,-1.94988
2518.26,-1.94507
2517.41,-1.94025
2516.56,-1.93544
2515.69,-1.93061
2514.82,-1.92579
2513.93,-1.92096
2513.03,-1.91612
2512.12,-1.91128
2511.19,-1.90644
2510.26,-1.90159
2509.32,-1.89673
2508.36,-1.89187
2507.39,-1.88701
2506.42,-1.88214
2505.43,-1.87726
2504.43,-1.87238
2503.41,-1.86749
2502.39,-1.86259
2501.36,-1.85769
2500.31,-1.85277
2499.26,-1.84786
2498.19,-1.84293
2497.11,-1.838
2496.02,-1.83305
2494.92,-1.8281
2493.81,-1.82314
2492.68,-1.81818
2491.55,-1.8132
2490.4,-1.80822
2489.24,-1.80322
2488.08,-1.79822
2486.9,-1.7932
2485.71,-1.78818
2484.5,-1.78314
2483.29,-1.7781
2482.06,-1.77304
2480.83,-1.76798
2479.58,-1.7629
2478.32,-1.75781
2477.05,-1.75271
2475.77,-1.74759
2474.48,-1.74247
2473.17,-1.73733
2471.86,-1.73218
2470.53,-1.72701
2469.2,-1.72184
2467.85,-1.71665
2466.49,-1.71144
2465.11,-1.70622
2463.73,-1.70099
2462.34,-1.69574
2460.93,-1.69048
2459.51,-1.6852
2458.08,-1.67991
2456.65,-1.6746
2455.19,-1.66927
2453.73,-1.66393
2452.26,-1.65857
2450.77,-1.6532
2449.28,-1.64781
2447.77,-1.6424
2446.25,-1.63697
2444.72,-1.63152
2443.17,-1.62606
2441.62,-1.62057
2440.06,-1.61507
2438.48,-1.60955
2436.89,-1.60401
2435.29,-1.59845
2433.68,-1.59286
2432.06,-1.58726
2430.42,-1.58164
